DILIST_ID,CompoundName,smiles,DILIst Classification ,Source,Routs of Administration 
108,vinblastine,[H]C12CN(CC(O)(CC)C1)CCC1=C(NC3=CC=CC=C13)C(C2)(C(=O)OC)C1=CC2=C(C=C1OC)N(C)C1C22CCN3CC=CC(CC)(C23)C(OC(C)=O)C1(O)C(=O)OC,0,DILIst Classification  Intravenous,Intravenous
813,vincristine,[H]C12CN(CC(O)(CC)C1)CCC1=C(NC3=CC=CC=C13)C(C2)(C(=O)OC)C1=CC2=C(C=C1OC)N(C=O)C1C22CCN3CC=CC(CC)(C23)C(OC(C)=O)C1(O)C(=O)OC,1,DILIst Classification  Intravenous,Intravenous
96,vancomycin,[H]C12NC(=O)C([H])(NC(=O)C3NC(=O)C(CC(N)=O)NC(=O)C(NC(=O)C(CC(C)C)NC)C(O)c4ccc(Oc5cc3cc(Oc3ccc(cc3Cl)C1O)c5OC1OC(CO)C(O)C(O)C1OC1CC(C)(N)C(O)C(C)O1)c(Cl)c4)c1ccc(O)c(c1)-c1c(O)cc(O)cc1C(NC2=O)C(O)=O,1,DILIst Classification  Oral,Oral
1151,Dirithromycin,[H]C12NC(COCCOC)OC([H])(C1C)C(C)(O)C(CC)OC(=O)C(C)C(OC1CC(C)(OC)C(O)C(C)O1)C(C)C(OC1OC(C)CC(C1O)N(C)C)C(C)(O)CC2C,1,DILIst Classification  ,
443,polyethylene glycol 3350,"[H]OCCO |lp:1:2,4:2,Sg:n:1,2,3::ht|",0,DILIst Classification  Oral,Oral
213,sodium thiosulfate,[Na+].[Na+].[O-]S([S-])(=O)=O,0,DILIst Classification  Intravenous,Intravenous
322,divalproex sodium,[Na+].CCCC(CCC)C(O)=O.CCCC(CCC)C([O-])=O,1,DILIst Classification  Oral,Oral
853,ammonium chloride,[NH4+].[Cl-],0,DILIst Classification  Intravenous,Intravenous
44,dantrolene,[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)C=NN1CC(=O)NC1=O,1,DILIst Classification  Oral,Oral
70,nitrofurantoin,[O-][N+](=O)C1=CC=C(O1)C=NN1CC(=O)NC1=O,1,DILIst Classification  Oral,Oral
1023,furazolidone,[O-][N+](=O)C1=CC=C(O1)C=NN1CCOC1=O,1,DILIst Classification  ,
1213,Nitrazepam,[O-][N+](=O)C1=CC=C2NC(=O)CN=C(C3=CC=CC=C3)C2=C1,1,DILIst Classification  ,
247,clonazepam,[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,1,DILIst Classification  Oral,Oral
374,isosorbide dinitrate,[O-][N+](=O)OC1COC2C(COC12)O[N+]([O-])=O,0,DILIst Classification  Oral,Oral
742,nitroglycerin,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,0,DILIst Classification  Oral,Oral
1212,Nicorandil,[O-][N+](=O)OCCNC(=O)C1=CN=CC=C1,1,DILIst Classification  ,
1061,bromobenzene,BrC1=CC=CC=C1,1,DILIst Classification  ,
1123,Bromazepam,BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,1,DILIst Classification  ,
1232,Pipobroman,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,1,DILIst Classification  ,
566,rasagiline,C#CCNC1CCC2=CC=CC=C12,0,DILIst Classification  Oral,Oral
74,perhexiline,C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1,1,DILIst Classification  Oral,Oral
1053,perhexiline maleate,C(C(C1CCCCC1)C1CCCCC1)C1CCCCN1,1,DILIst Classification  ,
1199,Mequitazine,C(C1CN2CCC1CC2)N1C2=CC=CC=C2SC2=C1C=CC=C2,1,DILIst Classification  ,
891,Hetastarch,C(COCC1C(C(C(C(O1)OCCO)OCCO)OCCO)OCCO)O.C(C1C(C(C(C(O1)O)O)O)O)O,0,DILIst Classification  Intravenous,Intravenous
889,plerixafor,C(N1CCCNCCNCCCNCC1)C1=CC=C(CN2CCCNCCNCCCNCC2)C=C1,0,DILIst Classification  Subcutaneous,Subcutaneous
833,cyanocobalamin,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2,0,DILIst Classification  Subcutaneous,Subcutaneous
872,betaine,C[N+](C)(C)CC([O-])=O,0,DILIst Classification  Oral,Oral
705,l-carnitine,C[N+](C)(C)CC(O)CC([O-])=O,0,DILIst Classification  Oral,Oral
353,succinylcholine,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,0,DILIst Classification  Intravenous,Intravenous
1092,citicoline,C[N+](C)(C)CCOP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1O)N1C=CC(N)=NC1=O,0,DILIst Classification  ,
382,glycopyrrolate,C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1,0,DILIst Classification  Oral,Oral
363,mepenzolate,C[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,0,DILIst Classification  Oral,Oral
264,methylnaltrexone bromide,C[N+]1(CC2CC2)CCC23C4Oc5c2c(CC1C3(O)CCC4=O)ccc5O,0,DILIst Classification  Subcutaneous,Subcutaneous
1262,Tiquizium,C[N+]12CCCCC1CCC(C2)=C(C1=CC=CS1)C1=CC=CS1,1,DILIst Classification  ,
79,ranitidine,C\N=C(/C[N+]([O-])=O)NCCSCC1=CC=C(CN(C)C)O1,1,DILIst Classification  Oral,Oral
180,nizatidine,C\N=C(/C[N+]([O-])=O)NCCSCC1=CSC(CN(C)C)=N1,1,DILIst Classification  Oral,Oral
367,Sodium polystyrene sulfonate,C=CC1=CC=C(C=C1)S(=O)(=O)O,0,DILIst Classification  Oral,Oral
468,sevelamer,C=CCN.C1C(O1)CCl,0,DILIst Classification  Oral,Oral
1063,allyl formate,C=CCOC=O,1,DILIst Classification  ,
987,Growth Hormone,C1=CC(=C(C=C1C(=O)O)O)O,1,DILIst Classification  Intravenous,Intravenous
281,neomycin,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N,0,DILIst Classification  Oral,Oral
702,kanamycin,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)O)O)OC3C(C(C(C(O3)CO)O)N)O)N,0,DILIst Classification  Intravenous,Intravenous
1137,Cibenzoline,C1C(C2=NCCN2)C1(C1=CC=CC=C1)C1=CC=CC=C1,1,DILIst Classification  ,
1242,Rilmenidine,C1CC1C(NC1=NCCO1)C1CC1,1,DILIst Classification  ,
941,Levamisole,C1CN2CC(N=C2S1)C1=CC=CC=C1,0,DILIst Classification  Oral,Oral
115,mifepristone,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(CC12C)C1=CC=C(C=C1)N(C)C,0,DILIst Classification  Oral,Oral
1183,Iloprost,CC#CCC(C)C(O)C=CC1C(O)CC2CC(CC12)=CCCCC(O)=O,1,DILIst Classification  ,
1121,Beraprost,CC#CCC(C)C(O)C=CC1C(O)CC2OC3=C(CCCC(O)=O)C=CC=C3C12,1,DILIst Classification  ,
972,CYPROTERONE,CC(=O)C1(O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC12C,1,"DILIst Classification  Oral, Intramuscular","Oral, Intramuscular"
1136,Chlormadinone,CC(=O)C1(O)CCC2C3C=C(Cl)C4=CC(=O)CCC4(C)C3CCC12C,1,DILIst Classification  ,
907,Acetohexamide,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,1,DILIst Classification  oral,oral
1231,Piperacetazine,CC(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCC(CCO)CC2)C=C1,1,DILIst Classification  ,
1155,Dydrogesterone,CC(=O)C1CCC2C3C=CC4=CC(=O)CCC4(C)C3CCC12C,1,DILIst Classification  ,
120,progesterone,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,1,DILIst Classification  Oral,Oral
1047,acenocoumarol,CC(=O)CC(C1C(=O)Oc2ccccc2C1=O)c1ccc(cc1)[N+]([O-])=O,1,DILIst Classification  Oral,Oral
303,warfarin,CC(=O)CC(C1C(=O)Oc2ccccc2C1=O)c1ccccc1,1,DILIst Classification  Oral,Oral
196,deferoxamine,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,1,DILIst Classification  Intravenous,Intravenous
62,ketoconazole,CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,1,DILIst Classification  Oral,Oral
470,acetylcysteine,CC(=O)NC(CS)C(O)=O,0,DILIst Classification  Oral,Oral
358,diatrizoate,CC(=O)NC1=C(I)C(C(O)=O)=C(I)C(NC(C)=O)=C1I,0,DILIst Classification  Intravenous,Intravenous
954,ACETARSOL,CC(=O)NC1=C(O)C=CC(=C1)[As](O)(O)=O,1,DILIst Classification  Vaginal,Vaginal
2,acetaminophen,CC(=O)NC1=CC=C(O)C=C1,1,DILIst Classification  Oral,Oral
1042,2-acetylaminofluorene,CC(=O)NC1=CC=C2C(CC3=C2C=CC=C3)=C1,1,DILIst Classification  ,
234,acetazolamide,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,1,DILIst Classification  Oral,Oral
330,dermatan,CC(=O)NC1C(C(C(OC1O)CO)OS(=O)(=O)[O-])OC2C(C(C(C(O2)C(=O)[O-])O)O)O,1,DILIst Classification  Intravenous,Intravenous
952,Zanamivir,CC(=O)NC1C(NC(N)=N)C=C(OC1C(O)C(O)CO)C(O)=O,0,DILIst Classification  Oral; Respiratory (inhalation),Oral; Respiratory (inhalation)
488,linezolid,CC(=O)NCC1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1,1,DILIst Classification  Intravenous,Intravenous
522,acamprosate,CC(=O)NCCCS(O)(=O)=O,1,DILIst Classification  Oral,Oral
884,norethindrone acetate,CC(=O)OC1(CCC2C3CCC4=CC(=O)CCC4C3CCC12C)C#C,0,DILIst Classification  Oral,Oral
550,nitazoxanide,CC(=O)OC1=C(C=CC=C1)C(=O)NC1=NC=C(S1)[N+]([O-])=O,0,DILIst Classification  Oral,Oral
28,aspirin,CC(=O)OC1=C(C=CC=C1)C(O)=O,1,DILIst Classification  Oral,Oral
596,cyclofenil,CC(=O)OC1=CC=C(C=C1)C(=C1CCCCC1)C1=CC=C(OC(C)=O)C=C1,1,DILIst Classification  Oral,Oral
873,bisacodyl,CC(=O)OC1=CC=C(C=C1)C(C1=CC=C(OC(C)=O)C=C1)C1=NC=CC=C1,0,DILIst Classification  Oral,Oral
335,triacetyldiphenolisatin,CC(=O)OC1=CC=C(C=C1)C1(C(=O)N(C(C)=O)C2=C1C=CC=C2)C1=CC=C(OC(C)=O)C=C1,1,DILIst Classification  Oral,Oral
1003,Phenisatin,CC(=O)OC1=CC=C(C=C1)C1(C(=O)N(C(C)=O)C2=C1C=CC=C2)C1=CC=C(OC(C)=O)C=C1,1,DILIst Classification  ,
1149,Diacerein,CC(=O)OC1=CC=CC2=C1C(=O)C1=C(OC(C)=O)C=C(C=C1C2=O)C(O)=O,1,DILIst Classification  ,
314,prasugrel hydrochloride,CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C2CC2)C2=CC=CC=C2F)S1,1,DILIst Classification  Oral,Oral
623,docetaxel,CC(=O)OC12COC1CC(O)C1(C)C2C(OC(=O)C2=CC=CC=C2)C2(O)CC(OC(=O)C(O)C(NC(=O)OC(C)(C)C)C3=CC=CC=C3)C(C)=C(C(O)C1=O)C2(C)C,1,DILIst Classification  Intravenous,Intravenous
426,rocuronium,CC(=O)OC1C(CC2C3CCC4CC(O)C(CC4(C)C3CCC12C)N1CCOCC1)[N+]1(CC=C)CCCC1,0,DILIst Classification  Intravenous,Intravenous
391,pancuronium,CC(=O)OC1C(CC2C3CCC4CC(OC(C)=O)C(CC4(C)C3CCC12C)[N+]1(C)CCCCC1)[N+]1(C)CCCCC1,0,DILIst Classification  Intravenous,Intravenous
407,vecuronium,CC(=O)OC1C(CC2C3CCC4CC(OC(C)=O)C(CC4(C)C3CCC12C)N1CCCCC1)[N+]1(C)CCCCC1,0,DILIst Classification  Intravenous,Intravenous
208,paclitaxel,CC(=O)OC1C2=C(C)C(CC(O)(C(OC(=O)C3=CC=CC=C3)C3C4(COC4CC(O)C3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)C(O)C(NC(=O)C1=CC=CC=C1)C1=CC=CC=C1,1,DILIst Classification  Intravenous,Intravenous
1035,ethynodiol diacetate,CC(=O)OC1CCC2C3CCC4(C)C(CCC4(OC(C)=O)C#C)C3CCC2=C1,1,DILIst Classification  Oral,Oral
348,cortisone acetate,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC12C,0,DILIst Classification  Oral,Oral
157,famciclovir,CC(=O)OCC(CCN1C=NC2=C1N=C(N)N=C2)COC(C)=O,0,DILIst Classification  Oral,Oral
866,acetylcholine chloride,CC(=O)OCC[N+](C)(C)C,0,DILIst Classification  Oral,Oral
1044,cefalotin,CC(=O)OCC1=C(N2C(SC1)C(NC(=O)CC1=CC=CS1)C2=O)C(O)=O,1,DILIst Classification  Intramuscular; Intravenous,Intramuscular; Intravenous
1099,cephapirin,CC(=O)OCC1=C(N2C(SC1)C(NC(=O)CSC1=CC=NC=C1)C2=O)C(O)=O,0,DILIst Classification  ,
84,spironolactone,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC33CCC(=O)O3)C12,1,DILIst Classification  Oral,Oral
1109,Acetorphan,CC(=O)SCC(CC1=CC=CC=C1)C(=O)NCC(=O)OCC1=CC=CC=C1,1,DILIst Classification  ,
12,ketoprofen,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,1,DILIst Classification  Oral,Oral
975,DEXKETOPROFEN,CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,1,DILIst Classification  ,
765,pirprofen,CC(C(O)=O)C1=CC(Cl)=C(C=C1)N1CC=CC1,1,DILIst Classification  Oral,Oral
56,fenoprofen,CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1,1,DILIst Classification  Oral,Oral
1195,Loxoprofen,CC(C(O)=O)C1=CC=C(CC2CCCC2=O)C=C1,1,DILIst Classification  ,
1261,Tiaprofenic acid,CC(C(O)=O)C1=CC=C(S1)C(=O)C1=CC=CC=C1,1,DILIst Classification  ,
242,benoxaprofen,CC(C(O)=O)C1=CC=C2OC(=NC2=C1)C1=CC=C(Cl)C=C1,1,DILIst Classification  Oral,Oral
1278,Zaltoprofen,CC(C(O)=O)C1=CC=C2SC3=CC=CC=C3C(=O)CC2=C1,1,DILIst Classification  ,
1236,Pranoprofen,CC(C(O)=O)C1=CC2=C(OC3=NC=CC=C3C2)C=C1,1,DILIst Classification  ,
152,anastrozole,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N,1,DILIst Classification  Oral,Oral
383,metyrapone,CC(C)(C(=O)C1=CN=CC=C1)C1=CN=CC=C1,0,DILIst Classification  Oral,Oral
659,fexofenadine,CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,0,DILIst Classification  Oral,Oral
1004,Pivmecillinam,CC(C)(C)C(=O)OCOC(=O)C1N2C(SC1(C)C)C(N=CN1CCCCCC1)C2=O,1,DILIst Classification  Oral,Oral
978,EBASTINE,CC(C)(C)C1=CC=C(C=C1)C(=O)CCCN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1,1,DILIst Classification  ,
1077,terfenadine,CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,0,DILIst Classification  Oral,Oral
784,saquinavir,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(CC1=CC=CC=C1)NC(=O)C(CC(N)=O)NC(=O)C1=CC=C2C=CC=CC2=N1,1,DILIst Classification  Oral,Oral
102,finasteride,CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C,1,DILIst Classification  Oral,Oral
697,indinavir,CC(C)(C)NC(=O)C1CN(CC2=CN=CC=C2)CCN1CC(O)CC(CC1=CC=CC=C1)C(=O)NC1C(O)CC2=C1C=CC=C2,0,DILIst Classification  Oral,Oral
394,terbutaline,CC(C)(C)NCC(O)C1=CC(O)=CC(O)=C1,1,DILIst Classification  Oral,Oral
474,salbutamol,CC(C)(C)NCC(O)C1=CC=C(O)C(CO)=C1,0,DILIst Classification  Oral,Oral
753,penbutolol,CC(C)(C)NCC(O)COC1=C(C=CC=C1)C1CCCC1,0,DILIst Classification  Oral,Oral
735,nadolol,CC(C)(C)NCC(O)COC1=CC=CC2=C1CC(O)C(O)C2,0,DILIst Classification  Oral,Oral
792,timolol,CC(C)(C)NCC(O)COC1=NSN=C1N1CCOCC1,0,DILIst Classification  Oral,Oral
829,dexpanthenol,CC(C)(CO)C(O)C(=O)NCCCO,0,DILIst Classification  Intravenous,Intravenous
369,phentermine,CC(C)(N)CC1=CC=CC=C1,1,DILIst Classification  Oral,Oral
835,montelukast,CC(C)(O)C1=CC=CC=C1CCC(SCC1(CC(O)=O)CC1)C1=CC(C=CC2=CC=C3C=CC(Cl)=CC3=N2)=CC=C1,1,DILIst Classification  Oral,Oral
1031,ciprofibrate,CC(C)(OC1=CC=C(C=C1)C1CC1(Cl)Cl)C(O)=O,1,DILIst Classification  ,
1081,bezafibrate,CC(C)(OC1=CC=C(CCNC(=O)C2=CC=C(Cl)C=C2)C=C1)C(O)=O,0,DILIst Classification  oral,oral
35,ceftazidime,CC(C)(ON=C(C(=O)NC1C2SCC(C[N+]3=CC=CC=C3)=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1)C(O)=O,1,DILIst Classification  Intravenous,Intravenous
1127,Bucillamine,CC(C)(S)C(=O)NC(CS)C(O)=O,1,DILIst Classification  ,
231,penicillamine,CC(C)(S)C(N)C(O)=O,1,DILIst Classification  Oral,Oral
1089,probucol,CC(C)(SC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C)SC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,0,DILIst Classification  Oral,Oral
356,propantheline,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C,0,DILIst Classification  Oral,Oral
940,Ipratropium,CC(C)[N+]1(C)C2CCC1CC(C2)OC(=O)C(CO)C1=CC=CC=C1,0,DILIst Classification  Oral; Respiratory (inhalation),Oral; Respiratory (inhalation)
1198,Menatetrenone,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=C(C)C(=O)C2=CC=CC=C2C1=O,1,DILIst Classification  ,
1256,Teprenone,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=O,1,DILIst Classification  ,
1248,Sofalcone,CC(C)=CCOC1=CC=C(C=CC(=O)C2=C(OCC(O)=O)C=C(OCC=C(C)C)C=C2)C=C1,1,DILIst Classification  ,
1182,Ibudilast,CC(C)C(=O)C1=C2C=CC=CN2N=C1C(C)C,1,DILIst Classification  ,
57,flutamide,CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,1,DILIst Classification  Oral,Oral
1125,Bromisoval,CC(C)C(Br)C(=O)NC(N)=O,1,DILIst Classification  ,
121,ergocalciferol,CC(C)C(C)C=CC(C)C1CCC2C(CCCC12C)=CC=C1CC(O)CCC1=C,0,DILIst Classification  Oral,Oral
810,valaciclovir,CC(C)C(N)C(=O)OCCOCN1C=NC2=C1N=C(N)NC2=O,1,DILIst Classification  Oral,Oral
911,Lopinavir,CC(C)C(N1CCCNC1=O)C(=O)NC(CC(O)C(CC1=CC=CC=C1)NC(=O)COC1=C(C)C=CC=C1C)CC1=CC=CC=C1,1,DILIst Classification  Oral,Oral
783,ritonavir,CC(C)C(NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)NC(CC(O)C(CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1,1,DILIst Classification  Oral,Oral
147,atorvastatin,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C(N1CCC(O)CC(O)CC(O)=O)C1=CC=C(F)C=C1)C1=CC=CC=C1,1,DILIst Classification  Oral,Oral
732,moxisylyte,CC(C)C1=CC(OC(C)=O)=C(C)C=C1OCCN(C)C,1,DILIst Classification  Oral,Oral
772,propofol,CC(C)C1=CC=CC(C(C)C)=C1O,1,DILIst Classification  Intravenous,Intravenous
309,fospropofol,CC(C)C1=CC=CC(C(C)C)=C1OCOP(O)(O)=O,1,DILIst Classification  Intravenous,Intravenous
